0.13          2.00          1.037          0.022          -0.022
0.22          2.00          1.006          0.021          -0.021
0.30          2.00          1.018          0.020          -0.020
0.40          2.00          0.979          0.020          -0.020
0.50          2.00          0.942          0.020          -0.020
0.22          5.00          0.987          0.021          -0.021
0.30          5.00          0.987          0.021          -0.021
0.40          5.00          0.982          0.019          -0.019
0.50          5.00          0.946          0.018          -0.018
0.50          5.00          0.961          0.020          -0.020
0.60          5.00          0.941          0.016          -0.016
0.70          5.00          0.918          0.018          -0.018
0.40          10.0          0.958          0.021          -0.021
0.50          10.0          0.946          0.024          -0.024
0.60          10.0          0.937          0.020          -0.020
0.70          10.0          0.947          0.026          -0.026
0.80          10.0          0.949          0.024          -0.024
0.60          15.0          0.932          0.023          -0.023
