   1	2.350000000000e-04	1.500000000000e-01	5.900000000000e-01	6.280000000000e-01	4.800000000000e-02	7.900000000000e-02	1.257961783439e+01	9.734000000000e-03	1.550000000000e+00
   2	6.200000000000e-04	2.600000000000e-01	4.900000000000e-01	6.790000000000e-01	2.500000000000e-02	3.100000000000e-02	4.565537555228e+00	1.052450000000e-02	1.550000000000e+00
   3	1.100000000000e-03	3.900000000000e-01	4.100000000000e-01	6.980000000000e-01	2.600000000000e-02	3.600000000000e-02	5.157593123209e+00	1.081900000000e-02	1.550000000000e+00
   4	1.690000000000e-03	5.100000000000e-01	3.400000000000e-01	6.990000000000e-01	2.300000000000e-02	4.000000000000e-02	5.722460658083e+00	1.083450000000e-02	1.550000000000e+00
   5	2.605000000000e-03	6.700000000000e-01	2.700000000000e-01	7.340000000000e-01	2.200000000000e-02	2.900000000000e-02	3.950953678474e+00	1.137700000000e-02	1.550000000000e+00
   6	4.015000000000e-03	9.300000000000e-01	2.900000000000e-01	7.670000000000e-01	2.200000000000e-02	4.400000000000e-02	5.736636245111e+00	1.188850000000e-02	1.550000000000e+00
   7	6.185000000000e-03	1.350000000000e+00	2.500000000000e-01	8.410000000000e-01	2.500000000000e-02	4.900000000000e-02	5.826397146254e+00	1.303550000000e-02	1.550000000000e+00
   8	1.152500000000e-02	2.420000000000e+00	2.500000000000e-01	8.910000000000e-01	2.200000000000e-02	3.000000000000e-02	3.367003367003e+00	1.381050000000e-02	1.550000000000e+00
   9	2.027500000000e-02	4.450000000000e+00	2.600000000000e-01	9.850000000000e-01	3.700000000000e-02	6.100000000000e-02	6.192893401015e+00	1.526750000000e-02	1.550000000000e+00
  10	4.000000000000e-02	7.910000000000e+00	2.400000000000e-01	1.019000000000e+00	3.700000000000e-02	5.400000000000e-02	5.299313052012e+00	1.579450000000e-02	1.550000000000e+00
  11	3.086700000000e-01	2.250000000000e+01	2.200000000000e-01	1.125000000000e+00	4.000000000000e-02	5.400000000000e-02	4.800000000000e+00	1.743750000000e-02	1.550000000000e+00
